sequence,session_id,prefetch_hit,prefetch_waste,hit_rate,cost_usd,tau_l2,prefetch_conf,task_success
1,u43-task-family-01,1,1,0.500,0.017,0.550,0.500,true
2,u43-task-family-02,1,0,1.000,0.015,0.550,0.500,true
3,u43-task-family-03,1,0,1.000,0.015,0.550,0.500,true
4,u43-task-family-04,1,0,1.000,0.015,0.550,0.500,true
5,u43-task-family-05,1,0,1.000,0.015,0.550,0.500,true
6,u43-task-family-06,1,0,1.000,0.015,0.550,0.500,true
7,u43-task-family-07,1,0,1.000,0.015,0.550,0.500,true
8,u43-task-family-08,1,0,1.000,0.015,0.550,0.500,true
9,u43-task-family-09,1,0,1.000,0.015,0.550,0.500,true
10,u43-task-family-10,1,0,1.000,0.015,0.550,0.500,true
11,u43-task-family-11,1,0,1.000,0.015,0.550,0.500,true
12,u43-task-family-12,1,0,1.000,0.015,0.550,0.500,true
13,u43-task-family-13,1,0,1.000,0.015,0.550,0.500,true
14,u43-task-family-14,1,0,1.000,0.015,0.550,0.500,true
15,u43-task-family-15,1,0,1.000,0.015,0.550,0.500,true
16,u43-task-family-16,1,0,1.000,0.015,0.550,0.500,true
17,u43-task-family-17,1,0,1.000,0.015,0.550,0.500,true
18,u43-task-family-18,1,0,1.000,0.015,0.550,0.500,true
19,u43-task-family-19,1,0,1.000,0.015,0.550,0.450,true
20,u43-task-family-20,1,0,1.000,0.015,0.550,0.400,true
